date,prefCode,prefName,newPositive,cumPositive,newDeath,cumDeath
2020-01-16,1,北海道,0,0,0,0
2020-01-17,1,北海道,0,0,0,0
2020-01-18,1,北海道,0,0,0,0
2020-01-19,1,北海道,0,0,0,0
2020-01-20,1,北海道,0,0,0,0
2020-01-21,1,北海道,0,0,0,0
2020-01-22,1,北海道,0,0,0,0
2020-01-23,1,北海道,0,0,0,0
2020-01-24,1,北海道,0,0,0,0
2020-01-25,1,北海道,0,0,0,0
2020-01-26,1,北海道,0,0,0,0
2020-01-27,1,北海道,0,0,0,0
2020-01-28,1,北海道,1,1,0,0
2020-01-29,1,北海道,0,1,0,0
2020-01-30,1,北海道,0,1,0,0
2020-01-31,1,北海道,0,1,0,0
2020-02-01,1,北海道,0,1,0,0
2020-02-02,1,北海道,0,1,0,0
2020-02-03,1,北海道,0,1,0,0
2020-02-04,1,北海道,0,1,0,0
2020-02-05,1,北海道,0,1,0,0
2020-02-06,1,北海道,0,1,0,0
2020-02-07,1,北海道,0,1,0,0
2020-02-08,1,北海道,0,1,0,0
2020-02-09,1,北海道,0,1,0,0
2020-02-10,1,北海道,0,1,0,0
2020-02-11,1,北海道,0,1,0,0
2020-02-12,1,北海道,0,1,0,0
2020-02-13,1,北海道,0,1,0,0
2020-02-14,1,北海道,1,2,0,0
2020-02-15,1,北海道,0,2,0,0
2020-02-16,1,北海道,0,2,0,0
2020-02-17,1,北海道,0,2,0,0
2020-02-18,1,北海道,0,2,0,0
2020-02-19,1,北海道,2,4,0,0
2020-02-20,1,北海道,1,5,0,0
2020-02-21,1,北海道,3,8,0,0
2020-02-22,1,北海道,9,17,0,0
2020-02-23,1,北海道,9,26,0,0
2020-02-24,1,北海道,4,30,0,0
2020-02-25,1,北海道,5,35,0,0
2020-02-26,1,北海道,4,39,1,1
2020-02-27,1,北海道,15,54,1,2
2020-02-28,1,北海道,12,66,0,2
2020-02-29,1,北海道,4,70,0,2
2020-03-01,1,北海道,2,72,1,3
2020-03-02,1,北海道,5,77,0,3
2020-03-03,1,北海道,2,79,0,3
2020-03-04,1,北海道,3,82,0,3
2020-03-05,1,北海道,1,83,0,3
2020-03-06,1,北海道,7,90,0,3
2020-03-07,1,北海道,8,98,0,3
2020-03-08,1,北海道,3,101,0,3
2020-03-09,1,北海道,7,108,0,3
2020-03-10,1,北海道,3,111,0,3
2020-03-11,1,北海道,7,118,0,3
2020-03-12,1,北海道,10,128,1,4
2020-03-13,1,北海道,9,137,0,4
2020-03-14,1,北海道,7,144,0,4
2020-03-15,1,北海道,4,148,1,5
2020-03-16,1,北海道,4,152,1,6
2020-03-17,1,北海道,0,152,0,6
2020-03-18,1,北海道,2,154,0,6
2020-03-19,1,北海道,3,157,0,6
2020-03-20,1,北海道,1,158,0,6
2020-03-21,1,北海道,1,159,0,6
2020-03-22,1,北海道,3,162,0,6
2020-03-23,1,北海道,0,162,0,6
2020-03-24,1,北海道,1,163,0,6
2020-03-25,1,北海道,4,167,1,7
2020-03-26,1,北海道,1,168,0,7
2020-03-27,1,北海道,1,169,0,7
2020-03-28,1,北海道,3,172,0,7
2020-03-29,1,北海道,4,176,0,7
2020-03-30,1,北海道,1,177,0,7
2020-03-31,1,北海道,0,177,0,7
2020-04-01,1,北海道,5,182,0,7
2020-04-02,1,北海道,3,185,1,8
2020-04-03,1,北海道,5,190,0,8
2020-04-04,1,北海道,3,193,0,8
2020-04-05,1,北海道,1,194,0,8
2020-04-06,1,北海道,0,194,1,9
2020-04-07,1,北海道,4,198,0,9
2020-04-08,1,北海道,10,208,0,9
2020-04-09,1,北海道,18,226,1,10
2020-04-10,1,北海道,13,239,0,10
2020-04-11,1,北海道,16,255,0,10
2020-04-12,1,北海道,12,267,1,11
2020-04-13,1,北海道,5,272,0,11
2020-04-14,1,北海道,18,290,2,13
2020-04-15,1,北海道,23,313,1,14
2020-04-16,1,北海道,23,336,0,14
2020-04-17,1,北海道,33,369,2,16
2020-04-18,1,北海道,38,407,2,18
2020-04-19,1,北海道,27,434,0,18
2020-04-20,1,北海道,17,451,3,21
2020-04-21,1,北海道,22,473,2,23
2020-04-22,1,北海道,22,495,2,25
2020-04-23,1,北海道,45,540,0,25
2020-04-24,1,北海道,22,562,0,25
2020-04-25,1,北海道,39,601,0,25
2020-04-26,1,北海道,14,615,0,25
2020-04-27,1,北海道,35,650,1,26
2020-04-28,1,北海道,38,688,1,27
2020-04-29,1,北海道,38,726,0,27
2020-04-30,1,北海道,41,767,2,29
2020-05-01,1,北海道,23,790,8,37
2020-05-02,1,北海道,33,823,3,40
2020-05-03,1,北海道,25,848,1,41
2020-05-04,1,北海道,31,879,2,43
2020-05-05,1,北海道,12,891,2,45
2020-05-06,1,北海道,23,914,1,46
2020-05-07,1,北海道,14,928,1,47
2020-05-08,1,北海道,6,934,1,48
